测试模块,测试ID,测试场景,测试步骤,预期结果,测试目的,优先级,状态,测试人,测试日期,备注
志愿者-签到,V-CI-001,首次签到,"1. 打开志愿者页面
2. 点击""签到""按钮","- 显示签到成功提示
- 状态变为""工作中""
- 显示当前工作时长计时器
- 签到按钮变为签退按钮",验证基本签到流程,P0,,,,,
志愿者-签到,V-CI-002,重复签到,"1. 已签到状态
2. 尝试再次点击签到","- 按钮不可点击或显示""已签到""
- 不触发新的签到记录",防止重复签到,P0,,,,,
志愿者-签到,V-CI-003,网络异常签到,"1. 断开网络
2. 点击签到按钮","- 显示网络错误提示
- 签到状态不变
- 提供重试选项",验证错误处理,P1,,,,,
志愿者-签到,V-CI-004,签到时间准确性,"1. 记录系统时间
2. 点击签到
3. 检查签到记录时间","- 签到时间误差<1秒
- 时间格式正确(YYYY-MM-DD HH:mm:ss)",确保时间同步,P0,,,,,
志愿者-签到,V-CI-005,权限验证-普通用户,"1. 普通用户登录
2. 访问志愿者页面","- 显示""无权限访问""提示
- 不显示签到按钮",验证权限控制,P0,,,,,
志愿者-签到,V-CI-006,权限验证-Staff,"1. Staff角色登录
2. 访问志愿者页面","- 显示个人志愿者数据
- 可以签到/签退
- 不显示管理功能",验证Staff权限,P0,,,,,
志愿者-签到,V-CI-007,权限验证-管理员,"1. 管理员登录
2. 访问志愿者页面","- 显示快捷操作区
- 显示学校管理界面
- 可以签到/签退",验证管理员权限,P0,,,,,
志愿者-签到,V-CI-008,自动签退状态记录,"1. 签到成功
2. 检查是否记录自动签退标记","- AsyncStorage中有recordedAutoCheckout标记
- 标记包含userId、recordId",验证自动签退准备,P1,,,,,
志愿者-签到,V-CI-009,下拉刷新后状态更新,"1. 签到成功
2. 下拉刷新页面","- 状态保持为""工作中""
- 工作时长继续计时
- 签到时间不变",验证状态持久性,P1,,,,,
志愿者-签到,V-CI-010,多语言签到提示,"1. 切换语言为English
2. 点击签到","- 成功提示为英文
- 按钮文字为""Check In""
- 错误提示为英文",验证国际化,P1,,,,,
志愿者-签退,V-CO-001,正常签退,"1. 已签到状态
2. 点击""签退""按钮
3. 填写工作描述
4. 确认签退","- 跳转到签退页面
- 显示正确的签到时间
- 计算工作时长准确
- 签退成功后返回志愿者首页",验证基本签退流程,P0,,,,,
志愿者-签退,V-CO-002,签退无签到记录,"1. 未签到状态
2. 尝试访问签退页面","- 不显示签退按钮
- 或显示""请先签到""提示",防止无效签退,P0,,,,,
志愿者-签退,V-CO-003,签退时间计算,"1. 签到时间: 09:00
2. 签退时间: 12:30
3. 检查工作时长","- 显示""3小时30分钟""
- 或""3.5小时""
- 时长计算准确",验证时长计算,P0,,,,,
志愿者-签退,V-CO-004,跨天签退,"1. 今天23:00签到
2. 明天01:00签退","- 正确计算为2小时
- 日期显示正确",验证跨天处理,P1,,,,,
志愿者-签退,V-CO-005,签退页面返回,"1. 进入签退页面
2. 点击返回按钮","- 返回志愿者首页
- 状态仍为""工作中""
- 不触发签退",验证页面导航,P1,,,,,
志愿者-签退,V-CO-006,签退后立即刷新,"1. 完成签退
2. 从签退页面返回
3. 检查状态","- 状态立即变为""已签退""
- 不显示工作时长计时器
- 显示最近签退记录",验证状态同步,P0,,,,,
志愿者-签退,V-CO-007,签退后历史记录,"1. 完成签退
2. 查看历史记录","- 新记录出现在列表顶部
- 显示完整时间和时长
- 状态为""待审核""",验证记录创建,P1,,,,,
志愿者-签退,V-CO-008,管理员签退真实时间,"1. 管理员签到
2. 等待5分钟
3. 点击签退","- 签退页面显示真实签到时间
- 工作时长显示为5分钟
- 不使用当前时间作为签到时间",修复真实时间bug,P0,,,,,
志愿者-签退,V-CO-009,签退网络中断,"1. 进入签退流程
2. 断开网络
3. 提交签退","- 显示网络错误
- 签退未成功
- 状态仍为""工作中""",验证错误处理,P1,,,,,
志愿者-签退,V-CO-010,签退多语言,"1. 切换为English
2. 进行签退流程","- 所有文字为英文
- 时间格式符合英文习惯
- 提示信息为英文",验证国际化,P1,,,,,
志愿者-工时,V-HT-001,总工时统计,"1. 完成多次签到签退
2. 查看总工时","- 累计时长准确
- 格式为""XX小时""或""XX.X小时""",验证统计准确性,P0,,,,,
志愿者-工时,V-HT-002,实时工时更新,"1. 签到后停留在页面
2. 观察当前工时","- 每分钟更新一次
- 显示""Xh Xm""格式
- 数值递增",验证实时计时,P1,,,,,
志愿者-工时,V-HT-003,历史记录分页,"1. 拥有10+条记录
2. 查看历史记录","- 默认显示前5条
- 可展开查看更多
- 有""显示更多""提示",验证列表性能,P2,,,,,
志愿者-工时,V-HT-004,记录状态标识,1. 查看历史记录列表,"- 已审核:绿色徽章
- 待审核:黄色徽章
- 已拒绝:红色徽章",验证状态可视化,P1,,,,,
志愿者-工时,V-HT-005,无记录状态,1. 新用户访问志愿者页面,"- 显示""暂无志愿者工作记录""
- 总工时为0
- 总记录数为0",验证空状态显示,P2,,,,,
志愿者-工时,V-HT-006,工时统计API失败,"1. 模拟API 19失败
2. 访问志愿者页面","- 显示0工时
- 不影响签到功能
- 显示友好错误提示",验证容错性,P1,,,,,
志愿者-工时,V-HT-007,最近记录展示,"1. 有多条完整记录
2. 查看最近记录卡片","- 显示最新完整记录
- 包含签到/签退时间
- 显示工作时长",验证记录优先级,P1,,,,,
志愿者-工时,V-HT-008,工作中状态优先,"1. 正在工作中
2. 查看最近记录","- 优先显示当前工作会话
- 显示""工作中""状态
- 不显示签退时间",验证状态优先级,P1,,,,,
志愿者-工时,V-HT-009,补录工时功能,"1. 点击""补录工时""按钮
2. 填写时间和描述
3. 提交","- 跳转到TimeEntry页面
- 可以手动选择时间
- 提交成功后更新总工时",验证手动录入,P1,,,,,
志愿者-工时,V-HT-010,工时导出功能,"1. 查看历史记录
2. 寻找导出选项","- (如实现)可导出CSV/PDF
- 包含所有记录详情
- 格式正确",验证数据导出,P2,,,,,
志愿者-管理,V-ADM-001,学校列表查看,"1. 总管理员登录
2. 访问志愿者页面","- 显示所有学校列表
- 显示每个学校的志愿者统计
- 可点击进入学校详情",验证管理视图,P0,,,,,
志愿者-管理,V-ADM-002,分管理员自动跳转,"1. 分管理员登录
2. 访问志愿者页面","- 自动跳转到所属学校详情
- 不显示其他学校
- 显示提示信息",验证权限隔离,P0,,,,,
志愿者-管理,V-ADM-003,学校详情查看,"1. 点击某个学校
2. 查看详情页","- 显示该校所有志愿者
- 显示签到/签退状态
- 可查看个人工时",验证详情页,P1,,,,,
志愿者-管理,V-ADM-004,搜索志愿者,"1. 在志愿者列表
2. 使用搜索功能","- 可按姓名搜索
- 可按学号搜索
- 实时过滤结果",验证搜索功能,P1,,,,,
志愿者-管理,V-ADM-005,管理员快捷签到,"1. 管理员访问页面
2. 使用快捷签到按钮","- 无需跳转即可签到
- 签到成功后按钮变为签退
- 显示当前工作状态",验证快捷操作,P1,,,,,
